dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total
ds004587,114,103,1,59,10000,25.491
ds004598,20,9,1,,10000,0.0
ds005383,240,30,1,30,200,8.327
ds003195,20,10,2,19,200,4.654
ds005403,32,32,1,62,10000,13.383
ds004621,167,42,4,,1000,0.0
ds005863,357,127,4,27,500,0.0
ds005594,16,16,1,64,1000,12.934
ds002336,54,10,6,,5000,0.0
ds004043,20,20,1,63,1000,0.0
ds005106,42,42,1,32,500,0.012
ds004284,18,18,1,129,1000,9.454
ds005620,202,21,3,"64,65",5000,21.811
ds002720,165,18,10,19,1000,0.0
ds005307,73,7,1,"72,104",10000,1.335
ds002094,43,20,3,30,5000,18.593
ds002833,80,20,1,257,1000,11.604
ds002218,18,18,1,0,256,16.52
ds005021,36,36,1,64,1024,0.0
ds004264,21,21,1,31,1000,0.0
ds004446,237,30,1,129,1000,33.486
ds004980,17,17,1,64,"499.9911824,499.9912809,499.991385,499.9914353,499.9914553,499.9915179,499.9917272,499.9917286,499.9917378,499.9919292,499.9919367,499.9923017,499.9923795,500",36.846
ds002722,94,19,5,32,1000,0.0
ds003944,82,82,1,61,"1000,3000.00030000003",6.999
ds004279,60,56,1,64,1000,53.729
ds005876,29,29,1,32,1000,16.017
ds003816,1077,48,8,127,1000,159.313
ds005385,3264,608,2,64,1000,169.62
ds004572,516,52,10,58,1000,52.624
ds005095,48,48,1,63,1000,16.901
ds004460,40,20,1,160,1000,27.494
ds005189,30,30,1,61,1000,0.0
ds005274,22,22,1,6,500,0.0
ds004075,116,29,4,,1000,0.0
ds004447,418,22,1,"128,129",1000,23.554
ds004952,245,10,1,128,1000,123.411
ds002724,96,10,4,32,1000,0.0
ds005571,45,24,2,64,5000,0.0
ds004262,21,21,1,31,1000,0.0
ds005273,33,33,1,63,1000,58.055
ds004520,33,33,1,62,250,0.055
ds004444,465,30,1,129,1000,55.687
ds004582,73,73,1,59,10000,34.244
ds002723,44,8,6,32,1000,0.0
ds003751,38,38,1,128,250,19.95
ds003421,80,20,1,257,1000,11.604
ds002158,117,20,1,,,0.0
ds004951,23,11,1,63,1000,29.563
ds004802,38,38,1,65,"2048,512",0.0
ds004816,20,20,1,63,1000,0.0
ds005873,2850,125,1,2,256,11935.09
ds003194,29,15,2,"19,21",200,7.178
ds004356,24,22,1,34,10000,0.0
ds004381,437,18,1,"4,5,7,8,10",20000,11.965
ds004196,4,4,1,64,512,1.511
ds005692,59,30,1,24,5000,112.206
ds002338,85,17,4,,5000,0.0
ds004022,21,7,1,"16,18",500,0.0
ds004603,37,37,1,64,1024,30.653
ds004752,136,15,1,"0,8,10,19,20,21,23","200,2000,4000,4096",0.302
ds003768,255,33,2,,,0.0
ds003947,61,61,1,61,"1000,3000.00030000003",5.266
ds005530,21,17,1,10,500,154.833
ds005555,256,128,1,"2,8,9,11,12,13",256,2002.592
ds004477,9,9,1,79,2048,13.557
ds005688,89,20,5,4,"10000,20000",2.502
ds003766,124,31,4,129,1000,39.973
ds005540,103,59,1,64,"1200,600",0.0
ds004152,21,21,1,31,1000,0.0
ds003626,30,10,1,,,0.0
ds002814,168,21,1,68,1200,0.0
ds003645,108,18,1,,,0.0
ds005586,23,23,1,60,1000,33.529
ds003810,50,10,1,15,125,0.0
ds003969,392,98,4,64,"1024,2048",66.512
