dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,s3_item_count,DatasetID,Type Subject,10-20 system,modality of exp,type of exp,record_modality
ds003805,1,1,1,19,500,0.033,16.96 MB,17781347,0,ds003805,Healthy,10-20,Multisensory,Learning,EEG
ds003838,130,65,2,63,1000,136.757,253.29 GB,271965704312,0,ds003838,Healthy,10-20,Auditory,Memory,EEG
ds002691,20,20,1,32,250,6.721,776.76 MB,814491068,0,ds002691,Healthy,other,Visual,Attention,EEG
ds003690,375,75,3,"64,66",500,46.771,21.46 GB,23043491552,0,ds003690,Healthy,10-20,Auditory,Decision-making,EEG
ds004040,4,2,1,64,512,4.229,11.59 GB,12440304224,0,ds004040,Healthy,10-20,Auditory,Other,EEG
ds003061,39,13,1,79,256,8.196,2.26 GB,2421951821,0,ds003061,Other,10-20,Auditory,Perception,EEG
ds005672,3,3,1,"65,69",1000,4.585,4.23 GB,4545641306,0,,Healthy,,,Learning,EEG
ds005410,81,81,1,63,1000,22.976,19.76 GB,21213481224,0,,Healthy,,,Perception,EEG
ds003753,25,25,1,64,500,10.104,4.62 GB,4965253148,0,ds003753,Healthy,10-20,Visual,Learning,EEG
ds005565,24,24,1,,500,11.436,2.62 GB,2816607296,0,,Other,,,Perception,EEG
ds002893,52,49,1,33,"250,250.0293378038558",36.114,7.70 GB,8263047991,0,ds002893,Healthy,10-20,Multisensory,Attention,EEG
ds002578,2,2,1,256,256,1.455,1.33 GB,1429254677,0,ds002578,Healthy,10-20,Visual,Attention,"EEG, MRI"
ds005089,36,36,1,63,1000,68.82,68.01 GB,73021312961,0,ds005089,Healthy,,Visual,Attention,EEG
ds003822,25,25,1,64,500,12.877,5.82 GB,6248744522,0,ds003822,Healthy,10-20,Visual,Affect,EEG
ds003670,62,25,1,32,2000,72.772,97.53 GB,104721234854,0,ds003670,Healthy,10-20,Visual,Attention,EEG
ds005048,35,35,1,,250,5.203,355.91 MB,373200880,0,ds005048,Dementia,,Auditory,Attention,EEG
