dataset,n_records,n_subjects,n_tasks,nchans_set,sampling_freqs,duration_hours_total,size,size_bytes,s3_item_count,DatasetID,Type Subject,10-20 system,modality of exp,type of exp,record_modality
ds004152,21,21,1,31,1000,0.0,4.77 GB,5118976537,0,ds004152,Healthy,10-20,Multisensory,Learning,EEG
ds003626,30,10,1,,,0.0,24.99 GB,26828585815,0,ds003626,Healthy,10-20,Visual,Motor,EEG
ds002814,168,21,1,68,1200,0.0,48.57 GB,52151006842,0,ds002814,Healthy,10-20,Visual,Perception,"MRI, EEG"
ds003645,108,18,1,,,0.0,105.89 GB,113698969765,0,ds003645,Healthy,other,Visual,Perception,"EEG, MEG, MRI"
ds005586,23,23,1,60,1000,33.529,28.68 GB,30791089319,0,,Other,,Visual,Perception,EEG
ds003810,50,10,1,15,125,0.0,69.31 MB,72674251,0,ds003810,Healthy,10-20,Motor,Clinical/Intervention,EEG
ds003969,392,98,4,64,"1024,2048",66.512,54.46 GB,58479195149,0,ds003969,Healthy,10-20,Auditory,Attention,EEG
ds004000,86,43,2,128,2048,0.0,22.50 GB,24161100810,0,ds004000,Schizophrenia/Psychosis,10-20,Multisensory,Decision-making,EEG
ds004995,20,20,1,,,0.0,27.60 GB,29637643188,0,ds004995,Healthy,,Visual,Attention,EEG
ds003638,57,57,1,64,512,40.597,16.31 GB,17516109722,0,ds003638,Healthy,10-20,Visual,Decision-making,EEG
ds004521,34,34,1,62,250,0.057,10.68 GB,11470006201,0,ds004521,Other,10-20,Visual,Motor,EEG
ds001849,120,20,1,30,5000,0.0,44.51 GB,47790431085,0,ds001849,Healthy,10-20,Multisensory,Clinical/Intervention,EEG
ds004252,1,1,1,,,0.0,4.31 GB,4630172409,0,ds004252,Healthy,10-20,Visual,Perception,EEG
ds004448,280,56,1,129,1000,43.732,38.17 GB,40980948240,0,ds004448,Healthy,other,Visual,Motor,EEG
ds005795,39,34,2,72,500,0.0,6.43 GB,6902188541,0,,Other,,Resting State,Learning,"EEG, MRI"
ds004018,32,16,1,63,1000,0.0,10.56 GB,11334174765,0,ds004018,Healthy,10-20,Visual,Learning,EEG
ds004324,26,26,1,28,500,19.216,2.46 GB,2637689107,0,ds004324,Healthy,10-20,Multisensory,Affect,EEG
ds003887,24,24,1,128,1000,0.0,80.10 GB,86007307086,0,ds003887,Healthy,10-20,Visual,Perception,EEG
ds004860,31,31,1,32,"2048,512",0.0,3.79 GB,4065632222,0,ds004860,Healthy,,Auditory,Decision-making,EEG
ds002721,185,31,6,19,1000,0.0,3.35 GB,3598851749,0,ds002721,Healthy,10-20,Auditory,Affect,EEG
ds003555,30,30,1,,1024,0.0,28.27 GB,30359240949,0,ds003555,Epilepsy,10-20,Resting State,Clinical/Intervention,EEG
ds005486,445,159,1,,"25000,5000",0.0,371.04 GB,398401152773,0,,Healthy,,,Other,EEG
ds005520,69,23,3,67,1000,60.73,275.98 GB,296326427308,0,,Healthy,,Motor,Affect,EEG
ds005262,186,12,1,,,0.0,688.75 MB,722211079,0,ds005262,Healthy,,Visual,other,EEG
ds002778,46,31,1,40,512,2.518,545.00 MB,571471228,0,ds002778,Parkinson's,10-20,Resting State,Resting state,EEG
ds003885,24,24,1,128,1000,0.0,82.21 GB,88277188455,0,ds003885,Healthy,10-20,Visual,Perception,EEG
ds005406,29,29,1,63,1000,15.452,13.26 GB,14241905076,0,,Other,,,Other,EEG
ds003710,48,13,1,32,5000,9.165,10.18 GB,10934708022,0,ds003710,Healthy,10-20,Multisensory,Perception,EEG
ds003343,59,20,1,16,500,6.551,663.50 MB,695729345,0,ds003343,Healthy,10-20,Tactile,Perception,EEG
ds005345,26,26,1,64,500,0.0,405.13 GB,435000970369,0,,Other,,,Perception,"MRI, EEG"
ds004067,84,80,1,63,2000,0.0,100.79 GB,108218050644,0,ds004067,Healthy,10-20,Visual,Affect,EEG
ds001810,263,47,1,64,512,91.205,109.70 GB,117790096766,0,ds001810,Healthy,10-20,Visual,Attention,"CHANNELS, EEG, EVENTS"
ds005515,2516,533,8,129,500,198.849,160.55 GB,172385741878,0,,Other,,Resting State,Resting state,EEG
ds005516,3397,430,8,129,500,256.932,219.39 GB,235564761634,0,,Other,,Resting State,Resting state,EEG
