participant_id	age	sex
sub-01	25	m
sub-02	24	f
sub-03	24	f
sub-04	18	f
sub-05	19	f
sub-06	18	f
sub-07	20	f
sub-08	20	f
sub-09	22	f
sub-10	19	f
sub-11	19	f
sub-12	20	f
sub-13	19	f
sub-14	19	f
sub-15	20	f
sub-16	18	f
sub-17	26	m
sub-18	27	m
sub-19	18	m
