participant_id	group
sub-001	FB
sub-002	FB
sub-003	S
sub-004	S
sub-005	S
sub-006	FB
sub-007	FB
sub-008	S
sub-009	FB
sub-010	S
sub-011	S
sub-012	FB
sub-013	S
sub-014	FB
sub-015	S
sub-016	S
sub-017	FB
sub-018	FB
sub-019	FB
sub-020	S
sub-021	S
sub-022	FB
sub-023	S
sub-024	FB
